date,close,open,high,low,var
2010-11-09,1390.95,1409.16,1425.36,1382.48,-0.01
2010-11-10,1403.75,1392.2,1410.8,1383.75,0.01
2010-11-11,1409.35,1402.85,1418.25,1396.5,0
2010-11-12,1368.95,1409.35,1410.61,1359.7,-0.03
2010-11-15,1359.49,1366.35,1377.16,1354.99,-0.01
2010-11-16,1340.85,1360,1364.85,1329.45,-0.01
2010-11-17,1337.25,1339.6,1345.2,1330.9,0
2010-11-18,1353.85,1335.6,1359.55,1335.19,0.01
2010-11-19,1353.5,1349.99,1363.29,1341.4,0
2010-11-22,1366.35,1354.15,1368.11,1348,0.01
2010-11-23,1377.2,1366,1382.4,1355.95,0.01
2010-11-24,1374.9,1376.6,1381.7,1369.2,0
2010-11-25,1374.62,1373.05,1375.4,1367.75,0
2010-11-26,1364.42,1374.12,1375.16,1350.27,-0.01
2010-11-29,1368.37,1362.37,1371.13,1353.04,0
2010-11-30,1384.85,1368,1390.15,1362.64,0.01
2010-12-01,1387.1,1385.3,1397.11,1381.75,0
2010-12-02,1384.65,1387.29,1398.6,1382.55,0
2010-12-03,1415.05,1384.8,1415.91,1383,0.02
2010-12-06,1423.55,1415.06,1427.51,1408.65,0.01
2010-12-07,1401.89,1422.95,1431.45,1395.99,-0.02
2010-12-08,1382.1,1400.79,1404.42,1371.45,-0.01
2010-12-09,1387.64,1381.66,1394.54,1379.3,0
2010-12-10,1386.05,1387.4,1392.55,1371.9,0
2010-12-13,1393.76,1383.15,1399.44,1379.95,0.01
2010-12-14,1396.25,1393,1408.1,1391.65,0
2010-12-15,1379.8,1395.65,1397.4,1376.99,-0.01
2010-12-16,1369.7,1380.4,1386.75,1361.35,-0.01
2010-12-17,1375.41,1370.75,1379.36,1364.3,0
2010-12-20,1384.65,1376.4,1388.45,1375.84,0.01
2010-12-21,1385.74,1384.8,1392.39,1380.7,0
2010-12-22,1385,1385.35,1391.2,1381.64,0
2010-12-23,1380.35,1384.49,1388.96,1372.05,0
2010-12-24,1384.75,1380.05,1386.14,1378.32,0
2010-12-27,1384.1,1384.25,1386.7,1372.25,0
2010-12-28,1406.39,1383.55,1407.15,1382.05,0.02
2010-12-29,1410.95,1405.56,1414.35,1400.35,0
2010-12-30,1404.45,1410.95,1414.95,1402.15,0
2010-12-31,1421.45,1404.15,1423.15,1403.25,0.01
2011-01-03,1414.3,1420.8,1424.07,1411.74,-0.01
2011-01-04,1380.6,1413.99,1417.59,1372,-0.02
2011-01-05,1377.48,1380.26,1385.73,1363.8,0
2011-01-06,1371.4,1377.55,1380.2,1364.55,0
2011-01-07,1369.6,1371.1,1379.74,1352.3,0
2011-01-10,1375.05,1368.8,1376.5,1365.14,0
2011-01-11,1382.45,1374.4,1386.96,1372.4,0.01
2011-01-12,1386.5,1380.5,1389.4,1376.15,0
2011-01-13,1374.36,1387.36,1393.61,1369.37,-0.01
2011-01-14,1361.85,1372.85,1378.35,1354.99,-0.01
2011-01-17,1362.78,1359.15,1366.22,1357.1,0
2011-01-18,1367.76,1360.95,1376.61,1359.5,0
2011-01-19,1370.2,1367.75,1379.16,1365.35,0
2011-01-20,1345.85,1370,1371.55,1342.65,-0.02
2011-01-21,1342.51,1345.45,1350.7,1337.5,0
2011-01-24,1334.7,1342.85,1353.4,1333.45,-0.01
2011-01-25,1333.75,1334.14,1338.75,1322.7,0
2011-01-26,1345.89,1332.7,1346.76,1324.65,0.01
2011-01-27,1311.49,1346.36,1341.64,1308.7,-0.03
2011-01-28,1335.35,1312.39,1347.21,1308,0.02
2011-01-31,1332.19,1336.55,1346.18,1322.9,0
2011-02-01,1340.6,1331.8,1343.6,1325.3,0.01
2011-02-02,1336.8,1340.49,1343.79,1326.4,0
2011-02-03,1353.2,1336,1356.15,1324.79,0.01
2011-02-04,1349.25,1353.3,1358.43,1344.8,0
2011-02-07,1349.1,1347.8,1353.4,1342.78,0
2011-02-08,1364,1350.3,1368.18,1348.1,0.01
2011-02-09,1362.95,1363.59,1367.4,1357.8,0
2011-02-10,1362.01,1362.89,1366.57,1350.25,0
2011-02-11,1356.1,1363.16,1368.51,1353.64,0
2011-02-14,1362.31,1358.7,1367.15,1353.8,0
2011-02-15,1373.4,1361.67,1376.85,1360.5,0.01
2011-02-16,1375.11,1373,1382.29,1368,0
2011-02-17,1383.67,1374.1,1385.28,1374,0.01
2011-02-18,1387.3,1383.34,1392.15,1381.6,0
2011-02-21,1406.45,1387.95,1408.7,1387.95,0.01
2011-02-22,1398.15,1405.95,1411.26,1392.54,-0.01
2011-02-23,1410.45,1399.15,1416.8,1395.2,0.01
2011-02-24,1400.25,1411.47,1418.42,1391.5,-0.01
2011-02-25,1409.25,1401.52,1412.14,1399,0.01
2011-02-28,1411.65,1408.55,1416.6,1404.25,0
2011-03-01,1433.85,1410.59,1435,1409,0.02
2011-03-02,1434.95,1433.75,1440.5,1427.5,0
2011-03-03,1416.4,1434.75,1436.55,1409.96,-0.01
2011-03-04,1429.3,1415.59,1432.36,1412.9,0.01
2011-03-07,1433.17,1427.65,1445.03,1427.65,0
2011-03-08,1428.89,1430.69,1437.16,1423.2,0
2011-03-09,1429.5,1428.19,1436.55,1422.91,0
2011-03-10,1413.45,1429.05,1431.75,1402.72,-0.01
2011-03-11,1417.4,1412.5,1424.55,1404.3,0
2011-03-14,1428.65,1420.09,1433.89,1417.79,0.01
2011-03-15,1395.95,1427.49,1429.49,1380.9,-0.02
2011-03-16,1401.3,1394.8,1408.35,1391.85,0
2011-03-17,1404.4,1399.99,1406.95,1386.25,0
2011-03-18,1419.55,1403.39,1425.7,1401.4,0.01
2011-03-21,1427.05,1424.46,1436.7,1423.19,0.01
2011-03-22,1428.55,1427.49,1428.74,1424.4,0
2011-03-23,1438.2,1427.49,1442.9,1425.61,0.01
2011-03-24,1431.1,1437.29,1449.4,1423.2,0
2011-03-25,1429.65,1431.8,1438.7,1421.79,0
2011-03-28,1420.65,1425.85,1430.04,1409.95,-0.01
2011-03-29,1418.8,1420.2,1425.1,1410.85,0
2011-03-30,1423.88,1418.02,1430.5,1411.75,0
2011-03-31,1432,1422.85,1441.3,1420.25,0.01
2011-04-01,1428.38,1432.09,1436.55,1412.55,0
2011-04-04,1436.94,1428.35,1438.94,1427.4,0.01
2011-04-05,1451.1,1436.55,1457.35,1429.6,0.01
2011-04-06,1457.5,1456.2,1462.41,1451.1,0
2011-04-07,1458.5,1458.7,1466.8,1452.09,0
2011-04-08,1475.1,1458.39,1476.85,1456.25,0.01
2011-04-11,1463.4,1473.15,1476.61,1458.8,-0.01
2011-04-12,1453.6,1461.75,1467.5,1443.49,-0.01
2011-04-13,1457.75,1452.09,1462.3,1450.56,0
2011-04-14,1474.9,1457.15,1477.3,1452.8,0.01
2011-04-15,1486.5,1474.79,1489.9,1471.2,0.01
2011-04-18,1495.51,1486,1497.64,1477.15,0.01
2011-04-19,1495.1,1495.29,1501.31,1487.3,0
2011-04-20,1502.35,1495.3,1507.7,1493.16,0
2011-04-21,1504.35,1501.49,1510.75,1500.35,0
2011-04-22,1508.13,1506.9,1512.95,1501.7,0
2011-04-25,1507.25,1509.45,1520.1,1501.7,0
2011-04-26,1507.05,1505.89,1507.91,1492.95,0
2011-04-27,1526.9,1506.09,1530.4,1502.8,0.01
2011-04-28,1535.45,1527.01,1538.85,1523.75,0.01
2011-04-29,1565.6,1534.95,1571.3,1531,0.02
2011-05-02,1545,1567.29,1576.29,1540.39,-0.01
2011-05-03,1536.83,1544.39,1551.8,1527.02,-0.01
2011-05-04,1515.95,1536.6,1543.46,1506,-0.01
2011-05-05,1473.65,1514.79,1523.69,1462.4,-0.03
2011-05-06,1495.25,1474.15,1498.59,1470.55,0.01
2011-05-09,1513.05,1492.65,1514.31,1489.38,0.01
2011-05-10,1515.72,1512.55,1519.65,1505.69,0
2011-05-11,1500.25,1512.75,1526.8,1495.65,-0.01
2011-05-12,1502.85,1499.75,1508.3,1478.8,0
2011-05-13,1494.55,1505.89,1516.93,1482.5,-0.01
2011-05-16,1489.7,1493.25,1504.9,1487.39,0
2011-05-17,1486.85,1489.2,1499.6,1471.5,0
2011-05-18,1497,1484.3,1501.6,1484.3,0.01
2011-05-19,1493.6,1496.3,1501.51,1486.4,0
2011-05-20,1513.55,1493.5,1517.55,1486.95,0.01
2011-05-23,1517.2,1512.1,1518.01,1503.55,0
2011-05-24,1526.4,1516.7,1529.45,1513,0.01
2011-05-25,1525.95,1525.69,1534.1,1521.06,0
2011-05-26,1519.05,1523.2,1531.7,1514.34,0
2011-05-27,1536.65,1521.59,1540.1,1518,0.01
2011-05-30,1538.45,1536.74,1540,1533.89,0
2011-05-31,1535.35,1537.95,1542.5,1532.26,0
2011-06-01,1540.7,1534.65,1550.64,1529.05,0
2011-06-02,1533.9,1540.49,1546.16,1519.6,0
2011-06-03,1542.5,1533.74,1547.46,1523.89,0.01
2011-06-06,1544,1542.59,1555.3,1540.2,0
2011-06-07,1544.25,1543.05,1550.5,1536.2,0
2011-06-08,1537.55,1543.75,1548.09,1530.76,0
2011-06-09,1544.35,1536.8,1551.3,1532.9,0
2011-06-10,1531.9,1543.6,1546.99,1525.74,-0.01
2011-06-13,1515.23,1530,1533.06,1511.11,-0.01
2011-06-14,1524.1,1514.73,1527.8,1511.95,0.01
2011-06-15,1530.7,1523.25,1534.25,1513.86,0
2011-06-16,1528.85,1529.59,1532.8,1521.9,0
2011-06-17,1539.5,1528.35,1542.15,1522,0.01
2011-06-20,1540.45,1538.4,1546.4,1532.74,0
2011-06-21,1546.2,1539.95,1548.4,1538.05,0
2011-06-22,1547.8,1546.45,1559.75,1541.1,0
2011-06-23,1520.85,1547.29,1550.85,1512.7,-0.02
2011-06-24,1502.15,1520.7,1527.41,1498.41,-0.01
2011-06-27,1497,1498.5,1507.29,1490.3,0
2011-06-28,1501,1496.2,1506.56,1495.5,0
2011-06-29,1512.05,1501.3,1513.19,1500,0.01
2011-06-30,1500.1,1511.55,1514.21,1498.2,-0.01
2011-07-01,1486.5,1500.84,1504.19,1478.01,-0.01
2011-07-04,1495.95,1486.09,1497.06,1485.5,0.01
2011-07-05,1516.3,1495.45,1517.09,1492.4,0.01
2011-07-06,1529.5,1515.64,1535.45,1509.89,0.01
2011-07-07,1532.55,1528.1,1536.2,1522.81,0
2011-07-08,1544.25,1531.85,1547.3,1524.2,0.01
2011-07-11,1554.1,1543.55,1557.09,1541.4,0.01
2011-07-12,1567.2,1553.6,1574.96,1540.3,0.01
2011-07-13,1582.25,1566.45,1587.96,1563.85,0.01
2011-07-14,1587.25,1581.75,1594.66,1578.8,0
2011-07-15,1594.1,1586.75,1595.65,1575.81,0
2011-07-18,1605.4,1593.45,1609.01,1591.59,0.01
2011-07-19,1588.35,1604.8,1610.01,1582.09,-0.01
2011-07-20,1602.1,1587.85,1603.69,1581,0.01
2011-07-21,1589.9,1596.58,1606.16,1584.59,-0.01
2011-07-22,1599.25,1590.98,1609.01,1583.36,0.01
2011-07-25,1614.55,1598.78,1622.99,1598.78,0.01
2011-07-26,1619.3,1614.05,1620.49,1607.79,0
2011-07-27,1613.5,1617.99,1628.5,1608.46,0
2011-07-28,1616.85,1613,1620.1,1602.9,0
2011-07-29,1626.64,1615.55,1632.8,1610.14,0.01
2011-08-01,1620.1,1626.14,1633.66,1607.69,0
2011-08-02,1659.75,1619.82,1661.05,1615.79,0.02
2011-08-03,1661.2,1659.25,1673.15,1651.5,0
2011-08-04,1648.4,1660.7,1682.17,1639.59,-0.01
2011-08-05,1665,1647.9,1670.1,1641.9,0.01
2011-08-08,1717.35,1662.25,1720.49,1662.17,0.03
2011-08-09,1743.9,1716.85,1778.79,1714.25,0.02
2011-08-10,1795,1743.4,1797.36,1739.5,0.03
2011-08-11,1767.9,1794.5,1815.79,1732.1,-0.02
2011-08-12,1746.6,1763.35,1768.3,1722.94,-0.01
2011-08-15,1765.5,1745.75,1766.44,1727.51,0.01
2011-08-16,1786.3,1765,1788.2,1760.69,0.01
2011-08-17,1788.65,1786.25,1794.9,1778.89,0
2011-08-18,1824.35,1789.14,1829,1783.84,0.02
2011-08-19,1852.45,1823.85,1877.5,1820.85,0.02
2011-08-22,1898.1,1858.89,1901.19,1857.2,0.02
2011-08-23,1830.15,1897.34,1911.96,1823,-0.04
2011-08-24,1751.05,1829.55,1854.11,1749.39,-0.04
2011-08-25,1771.6,1749.34,1774.9,1702.44,0.01
2011-08-26,1828.55,1772.14,1829.15,1756.74,0.03
2011-08-29,1788.45,1836.49,1839.24,1775.29,-0.02
2011-08-30,1835.3,1787.1,1840.26,1783.19,0.03
2011-08-31,1823.8,1834.89,1839.7,1812.39,-0.01
2011-09-01,1825.05,1822.59,1830.6,1814.15,0
2011-09-02,1884.2,1824.34,1884.9,1823.5,0.03
2011-09-05,1900.49,1876.49,1904.2,1873.79,0.01
2011-09-06,1873.72,1902.59,1921.11,1860.1,-0.01
2011-09-07,1816.96,1871.89,1880.61,1793.19,-0.03
2011-09-08,1868.76,1816.46,1870.3,1812.49,0.03
2011-09-09,1857.81,1868.26,1885.89,1824.44,-0.01
2011-09-12,1813.75,1857.16,1861.6,1800.59,-0.02
2011-09-13,1833.8,1813.25,1843.7,1798.75,0.01
2011-09-14,1819.7,1833.14,1844.89,1807.79,-0.01
2011-09-15,1789.14,1820.1,1826.49,1772.04,-0.02
2011-09-16,1811.95,1787.34,1822.2,1761.94,0.01
2011-09-19,1778.75,1817.39,1828.47,1769.59,-0.02
2011-09-20,1803.75,1777.84,1811.4,1769.74,0.01
2011-09-21,1781.79,1803.04,1816.76,1778.3,-0.01
2011-09-22,1735.83,1778.84,1786.19,1721.34,-0.03
2011-09-23,1656.59,1736.34,1756.01,1628.69,-0.05
2011-09-26,1627.35,1656.79,1662.99,1534.49,-0.02
2011-09-27,1649.95,1624.29,1677.19,1614.41,0.01
2011-09-28,1608.8,1649.39,1668.85,1597.84,-0.02
2011-09-29,1614.55,1606.44,1634.09,1582.8,0
2011-09-30,1623.75,1615.49,1640.49,1606.69,0.01
2011-10-03,1660.95,1617.49,1664.46,1617.49,0.02
2011-10-04,1624.3,1659.79,1678.86,1595.14,-0.02
2011-10-05,1640.9,1624.19,1646.7,1596.75,0.01
2011-10-06,1650.63,1640.54,1655.65,1631.29,0.01
2011-10-07,1639.45,1643.34,1666.55,1625.09,-0.01
2011-10-10,1675.44,1653.64,1678.1,1637.59,0.02
2011-10-11,1663.1,1675.59,1685.22,1653.6,-0.01
2011-10-12,1677.2,1661.79,1692.1,1659.89,0.01
2011-10-13,1666.7,1674.39,1684.39,1652.69,-0.01
2011-10-14,1679.95,1666.44,1684.26,1660.64,0.01
2011-10-17,1670.65,1681.79,1696.1,1664.94,-0.01
2011-10-18,1655.15,1670.34,1677.22,1626.34,-0.01
